"HGNC","logFC","logCPM","F","PValue","FDR"
"DCAF4",-1.9467818414695,4.62335808778028,24.8323379957836,2.93751865234841e-06,5.61582263727087e-05
"DCAF5",-0.76247614756025,5.89337077607579,4.10115625251971,0.0483258882449034,0.107905996715701
"DCAF6",-0.200039334464753,5.7924625367729,0.275976706035803,0.601680828229878,0.690282792238238
"DCAF7",-0.394357104706856,6.25142636068767,0.857580218643308,0.35912604047557,0.472276196545054
"DCAF8",-0.243873337467286,6.06048805681328,0.402775636092826,0.528671993515919,0.628012243920561
"DCAKD",-0.570168478790279,4.96005007508355,1.40018711647625,0.240727769396651,0.350364324236397
"DCBLD1",-1.20129729652902,4.58845267222904,6.78608551868616,0.0107000351096825,0.0347074068915955
"DCBLD2",-0.550413404959389,5.71776305757222,1.4583342680635,0.232828499980853,0.3421938552542
"DCC",-1.44799278510472,4.67353501826267,4.21475505667589,0.0430430372527336,0.0991616101974159
"DCDC1",-0.546136660724176,6.46871424686712,1.34051305456115,0.252830309181086,0.363466102807908
"DCDC2",-1.5535980769507,4.54237593437561,14.1922331263533,0.000287220436017565,0.00206041149594763
"DCDC2B",-0.621171254442217,5.09034850222166,2.33705907943389,0.131277693344995,0.224324222491342
"DCHS1",-1.91487449962597,5.07506780435622,10.5597486650877,0.00180810046299587,0.00880015938249873
"DCHS2",-2.03935816918898,4.82817715723697,11.5747735326557,0.00104320030407575,0.00571982414729276
"DCK",0.55860837918693,5.10343584582757,0.510365173536021,0.477560035353745,0.582721121166734
"DCLK1",-2.08067885384551,4.54963326463733,24.5073657265916,3.27074748103604e-06,6.10620288990456e-05
"DCLRE1A",-0.659159968881855,4.88512799997906,2.38003731645414,0.127192545457619,0.219441605523116
"DCLRE1B",-1.02450899167016,4.53298493751429,5.11002092785043,0.0260627459628727,0.0680574761613817
"DCLRE1C",-0.305079661785618,5.3512820371475,0.459326784317494,0.500723969285157,0.603871749224831
"DCN",-2.17586565226776,4.36118634937796,10.0432303663155,0.00216367779557025,0.0101078577771434
"DCP1A",-0.411376289293125,5.20153632135968,1.02642807363787,0.315070323080211,0.428924507167713
"DCP1B",-1.04525072346706,4.6462955824234,7.53493383996567,0.0073144647979099,0.0259281145508658
"DCP2",0.450436658658168,6.23671139346169,0.590760286761517,0.445914588345198,0.55414748578907
"DCPS",-0.997298846307946,5.07330029958443,11.0114061061295,0.00149014345648918,0.00759030568151055
"DCST1",-1.38593658710496,4.38233071540543,5.68347602136354,0.0192101167657317,0.0537954418021102
"DCST2",-1.93894195654047,4.40649201457627,13.3774471305353,0.00043146593451386,0.00284918247236619
"DCTD",-0.762405628258921,5.2306497967799,3.36303364961647,0.0717092034449743,0.144546330911077
"DCTN1",-0.331815522649907,6.36935153197032,0.946218150416287,0.335671819882814,0.448769274181586
"DCTN1-AS1",-1.44471803055639,4.52907934758023,11.654128183821,0.000944244976538033,0.00530024964187384
"DCTN2",-0.383913638441519,5.48922868120291,0.868855302389607,0.355464562655166,0.468830214327636
"DCTN3",-0.937888376228881,4.92197879334946,5.58355442338008,0.0208473017681897,0.0572978730168237
"DCTN4",-0.545061101803492,5.59305038172779,1.6862082582719,0.199846012286989,0.305908634254868
"DCTN5",-0.756760155267845,5.78949178765403,2.95157733151262,0.0920135889026597,0.173084897547708
"DCTN6",-1.10558136187144,4.74448087814852,8.0804957549859,0.00563311650720357,0.0213173142697528
"DCTPP1",-1.19405833441663,4.65273737002734,8.73839398399834,0.00398849444561604,0.0163054914859707
"DCUN1D1",-0.492764525280752,5.46951832760062,1.0642349683746,0.306870510666261,0.420792152910337
"DCUN1D2",-1.45785033768463,4.65756340771243,14.3910031873128,0.000270277380203554,0.00196339228994893
